thumbnail,x,y,tile_w,tile_h,mean_brightness,edge_mean
4600_800.jpg,4600,800,600,600,73.304,33.36
4800_800.jpg,4800,800,600,600,73.48,32.068
5000_800.jpg,5000,800,600,600,71.227,30.967
5200_800.jpg,5200,800,600,600,67.568,29.071
5400_800.jpg,5400,800,600,600,64.612,27.47
5600_800.jpg,5600,800,600,600,64.892,27.731
5800_800.jpg,5800,800,600,600,67.566,28.547
6000_800.jpg,6000,800,600,600,64.532,27.416
6200_800.jpg,6200,800,600,600,62.146,26.441
0_1000.jpg,0,1000,600,600,57.463,24.83
200_1000.jpg,200,1000,600,600,54.882,27.476
400_1000.jpg,400,1000,600,600,58.836,27.556
600_1000.jpg,600,1000,600,600,61.257,26.494
800_1000.jpg,800,1000,600,600,69.841,25.525
1000_1000.jpg,1000,1000,600,600,73.095,25.769
1200_1000.jpg,1200,1000,600,600,72.832,28.357
1400_1000.jpg,1400,1000,600,600,70.236,30.272
1600_1000.jpg,1600,1000,600,600,65.185,30.485
1800_1000.jpg,1800,1000,600,600,65.604,31.465
2000_1000.jpg,2000,1000,600,600,63.17,31.744
2200_1000.jpg,2200,1000,600,600,69.416,34.246
2400_1000.jpg,2400,1000,600,600,72.331,32.752
2600_1000.jpg,2600,1000,600,600,77.756,33.277
2800_1000.jpg,2800,1000,600,600,81.21,33.856
3000_1000.jpg,3000,1000,600,600,82.07,36.711
3200_1000.jpg,3200,1000,600,600,81.48,36.159
3400_1000.jpg,3400,1000,600,600,79.789,35.302
3600_1000.jpg,3600,1000,600,600,81.391,33.096
3800_1000.jpg,3800,1000,600,600,77.575,33.399
4000_1000.jpg,4000,1000,600,600,75.464,31.353
4200_1000.jpg,4200,1000,600,600,70.619,31.852
4400_1000.jpg,4400,1000,600,600,73.774,32.621
4600_1000.jpg,4600,1000,600,600,76.598,34.034
4800_1000.jpg,4800,1000,600,600,78.313,33.683
5000_1000.jpg,5000,1000,600,600,72.794,31.193
5200_1000.jpg,5200,1000,600,600,67.82,28.92
5400_1000.jpg,5400,1000,600,600,64.469,27.321
5600_1000.jpg,5600,1000,600,600,68.473,28.462
5800_1000.jpg,5800,1000,600,600,67.769,29.082
6000_1000.jpg,6000,1000,600,600,67.057,27.615
6200_1000.jpg,6200,1000,600,600,71.209,25.469
0_1200.jpg,0,1200,600,600,56.977,23.35
200_1200.jpg,200,1200,600,600,54.167,25.638
400_1200.jpg,400,1200,600,600,56.601,25.536
600_1200.jpg,600,1200,600,600,54.008,24.418
800_1200.jpg,800,1200,600,600,58.347,24.437
1000_1200.jpg,1000,1200,600,600,61.361,24.859
1200_1200.jpg,1200,1200,600,600,62.642,26.426
1400_1200.jpg,1400,1200,600,600,62.584,27.344
1600_1200.jpg,1600,1200,600,600,59.379,27.883
1800_1200.jpg,1800,1200,600,600,62.272,29.026
2000_1200.jpg,2000,1200,600,600,60.404,30.37
2200_1200.jpg,2200,1200,600,600,62.731,32.882
